,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-05-01-01,2.0,1.2,1.3,2.5,1.6,3.5,0.9,0.7,1.6,2.1,3.4,0.5,2.5,1.3,1.4,0.7,6.8,2.5,0.2,0.4,0.8,0.7,0.9,0.2
2021-05-01-02,2.3,1.0,1.1,2.0,1.3,2.7,1.1,1.1,1.3,2.5,3.0,0.3,3.0,0.6,1.8,0.9,2.0,2.8,1.7,1.0,0.9,0.3,2.0,1.0
2021-05-01-03,2.2,1.4,0.9,4.5,1.9,3.1,0.8,1.1,1.0,2.5,2.4,0.8,2.7,1.2,1.0,0.5,3.7,1.4,1.6,1.0,1.4,0.3,2.3,0.9
2021-05-01-04,2.1,1.2,1.5,3.1,1.9,3.6,0.9,1.3,1.0,2.9,2.5,0.6,3.7,0.4,1.3,0.1,3.4,1.4,1.6,0.8,1.3,1.5,1.7,1.1
2021-05-01-05,2.1,1.3,1.9,3.5,1.4,4.5,0.5,0.6,1.1,2.7,2.1,0.4,2.5,0.9,0.5,0.4,3.9,2.5,1.2,1.1,1.4,1.4,1.5,0.3
2021-05-01-06,1.6,1.5,1.1,3.9,2.1,4.1,0.7,1.1,0.9,3.1,2.2,0.2,3.7,1.5,0.5,1.0,3.2,2.4,1.7,1.4,1.4,0.9,2.0,0.7
2021-05-01-07,2.2,1.7,0.5,3.8,1.1,3.7,0.9,1.0,1.5,2.5,2.8,0.4,2.9,1.4,0.4,0.4,1.2,0.2,1.1,0.2,1.1,1.3,1.7,0.9
2021-05-01-08,1.3,1.8,1.4,3.3,1.8,3.7,0.6,1.2,0.7,1.6,3.0,0.9,2.9,0.8,0.3,2.0,0.7,1.0,1.7,1.3,1.0,0.2,1.5,1.5
2021-05-01-09,1.9,1.4,0.7,4.3,1.1,3.7,0.0,0.3,0.9,0.9,3.7,1.9,2.2,0.6,0.5,2.0,0.5,0.4,0.7,2.1,1.1,0.6,0.5,1.8
2021-05-01-10,1.3,1.2,0.8,4.4,0.9,6.3,0.7,0.9,0.8,2.0,3.7,1.8,2.3,0.8,1.0,2.1,1.7,0.6,2.5,2.3,2.0,1.6,1.5,1.7
2021-05-01-11,2.6,2.3,1.5,3.1,0.7,7.2,0.2,1.5,1.9,2.6,3.5,2.3,2.9,1.5,1.0,1.9,2.0,1.4,2.7,2.0,1.7,2.0,1.4,1.4
2021-05-01-12,2.3,3.0,1.3,3.1,1.6,6.7,1.1,2.4,2.4,1.6,6.7,2.0,4.0,0.4,1.4,2.3,2.0,0.8,4.2,2.7,1.8,2.6,1.2,1.7
2021-05-01-13,1.0,1.6,1.1,2.3,1.9,5.2,1.8,2.4,2.8,1.2,5.5,1.5,4.0,0.8,1.7,3.1,1.6,1.1,3.6,2.8,1.9,2.7,1.1,2.6
2021-05-01-14,0.9,2.8,0.8,2.8,2.2,6.8,2.1,2.1,2.5,1.7,4.4,2.1,4.3,1.2,1.9,3.1,2.0,1.5,3.8,2.9,1.3,2.3,1.2,3.0
2021-05-01-15,1.9,2.2,0.9,4.1,1.6,6.3,2.1,1.6,2.7,2.2,4.2,1.1,4.3,1.2,0.9,2.4,2.0,1.3,2.9,2.7,1.1,2.9,1.7,3.7
2021-05-01-16,1.5,2.8,0.8,2.8,2.0,5.6,1.6,1.9,3.6,1.2,1.8,1.7,3.0,0.5,0.7,2.2,1.1,0.7,3.5,2.7,1.2,2.2,1.3,2.8
