測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2019,47201140,201,NO2 ,PPB   , 8,18,   6,   4,   5,   3,   4,   4,   5,   6,   7,   5,   6,   6,  13,  18,   5,   5,   5,   5,   7,   6,   8,   5,   3,   3
2019,47201140,201,NO2 ,PPB   , 8,19,   2,   2,   2,   3,   3,   2,   7,  12,  15,  16,  11,   7,   6,   7,   8,   4,   5,   3,   2,   3,   3,   2,   2,   2
2019,47201140,201,NO2 ,PPB   , 8,20,   1,   1,   1,   1,   1,   1,   3,   3,   3,   4,   3,   3,   4,   3,   3,   3,   3,   3,   2,   3,   2,   2,   1,   1
2019,47201140,201,NO2 ,PPB   , 8,21,   1,   1,   1,   1,   1,   1,   2,   2,   2,   3,   3,   3,   2,   2,   2,   2,   3,   3,   3,   4,   3,   4,   3,   3
2019,47201140,201,NO2 ,PPB   , 8,22,9999,   2,   1,   1,   2,   3,   4,   4,   3,   2,   3,   3,   2,   3,   2,   2,   3,   3,   3,   3,   3,   3,   2,   2
2019,47201140,201,NO2 ,PPB   , 8,23,   2,   2,   1,   1,   1,   1,   3,   4,   3,   4,   4,   3,   3,   3,   3,   3,   3,   3,   3,   3,   2,   2,   2,   1
2019,47201140,201,NO2 ,PPB   , 8,24,   1,   1,   1,   1,   1,   1,   2,   2,   2,   2,   2,   2,   2,   2,   1,   1,   1,   2,   2,   2,   2,   1,   1,   1
2019,47201140,201,NO2 ,PPB   , 8,25,   1,   1,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   2,   2,   1,   1
2019,47201140,201,NO2 ,PPB   , 8,26,   1,   1,   2,   1,   2,   3,   2,   2,   3,   3,   3,   3,   2,   3,   3,   3,   3,   2,   3,   3,   3,   3,   2,   2
2019,47201140,201,NO2 ,PPB   , 8,27,   2,   2,   1,   1,   2,   2,   3,   4,   4,   4,   4,   3,   3,   4,   3,   3,   3,   3,   2,   2,   3,   2,   1,   1
2019,47201140,201,NO2 ,PPB   , 8,28,   2,   2,   1,   1,   1,   1,   2,   2,   3,   3,   3,   3,   3,   3,   2,   3,   2,   2,   2,   2,   2,   2,   3,   2
2019,47201140,201,NO2 ,PPB   , 8,29,   3,   4,   4,   2,   1,   2,   4,   4,   3,   3,   3,   3,   2,   4,   6,   4,   3,   3,   6,   4,   3,   5,   3,   2
2019,47201140,201,NO2 ,PPB   , 8,30,9999,   2,   1,   1,   1,   1,   2,   3,   3,   3,   3,   3,   2,   3,   3,   3,   3,   2,   2,   2,   2,   2,   2,   1
2019,47201140,201,NO2 ,PPB   , 8,31,   1,   1,   1,   1,   1,   1,   2,   2,   1,   2,   1,   1,   1,   1,   1,   1,   2,   1,   2,   2,   3,   2,   1,   2
2019,47201140,201,NO2 ,PPB   , 9, 1,   2,   1,   1,   1,   1,   1,   1,   2,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   2,   3,   3,   2,   2
2019,47201140,201,NO2 ,PPB   , 9, 2,   1,   1,   1,   2,   1,   2,   2,   4,   4,   3,   3,   3,   3,   4,   3,   3,   3,   3,   3,   3,   2,   2,   2,   2
2019,47201140,201,NO2 ,PPB   , 9, 3,   2,   1,   1,   1,   2,   3,   4,   5,   3,   4,   3,   4,   3,   4,   3,   3,   3,   4,   2,   3,   3,   2,   3,   2
2019,47201140,201,NO2 ,PPB   , 9, 4,   1,   1,   1,   1,   1,   2,   2,   4,   3,   4,   3,   2,   3,   2,   3,   3,   3,   4,   4,   3,   2,   2,   1,   1
2019,47201140,201,NO2 ,PPB   , 9, 5,   1,   1,   1,   1,   1,   1,   1,   2,   3,   3,   2,   3,   3,   2,   3,   2,   2,   2,   1,   1,   1,   1,   1,   0
2019,47201140,201,NO2 ,PPB   , 9, 6,   0,   0,   0,   0,   1,   0,   1,   1,   1,   2,   2,   2,   2,   2,   3,   3,   2,   2,   2,   2,   1,   1,   1,   1
2019,47201140,201,NO2 ,PPB   , 9, 7,9999,   1,   1,   1,   1,   1,   2,   4,   3,   3,   4,   4,   3,   3,   4,   3,   3,   3,   3,   2,   2,   1,   1,   1
2019,47201140,201,NO2 ,PPB   , 9, 8,   1,   1,   1,   2,   1,   2,   1,   2,   2,   2,   2,   2,   4,   7,   6,   8,   8,   9,   7,   4,   2,   3,   4,   2
2019,47201140,201,NO2 ,PPB   , 9, 9,   4,   3,   2,   3,   4,   8,  13,  15,   9,   8,   4,   4,   3,   4,   4,   2,   4,   4,   3,   5,   3,   3,   3,   2
2019,47201140,201,NO2 ,PPB   , 9,10,   2,   1,   1,   1,   2,   3,   4,   6,   5,   4,   3,   2,   3,   2,   2,   2,   2,   3,   3,   2,   2,   1,   2,   1
2019,47201140,201,NO2 ,PPB   , 9,11,   1,   1,   1,   1,   1,   2,   3,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   1
2019,47201140,201,NO2 ,PPB   , 9,12,   1,   2,   1,   2,   2,   2,   3,   3,   3,   2,   2,   2,   1,   2,   1,   2,   2,   2,   3,   4,   4,   4,   3,   2
2019,47201140,201,NO2 ,PPB   , 9,13,   2,   2,   3,   3,   4,   4,   5,   6,   6,   7,   8,   6,   5,   5,   6,   6,   6,   6,   8,   8,   7,   6,   5,   4
2019,47201140,201,NO2 ,PPB   , 9,14,   4,   3,   3,   3,   3,   3,   6,   8,   7,   7,   7,   5,   5,   4,   3,   5,   5,   6,   4,   6,   6,   5,   3,   3
2019,47201140,201,NO2 ,PPB   , 9,15,9999,   3,   3,   3,   2,   4,   4,   5,   7,   5,   5,   6,   5,   6,   6,   5,   5,   5,   8,   7,   8,   8,   4,   4
2019,47201140,201,NO2 ,PPB   , 9,16,   3,   3,   2,   3,   3,   3,   6,   7,   6,   5,   4,   4,   3,   4,   5,   5,   5,   4,   5,   4,   4,   4,   4,   4
2019,47201140,201,NO2 ,PPB   , 9,17,   4,   4,   3,   3,   3,   2,   6,  10,   9,  11,   8,   7,   7,   5,   6,   7,   7,   8,   7,   6,   6,   6,   5,   6
2019,47201140,201,NO2 ,PPB   , 9,18,   6,   4,   4,   3,   3,   6,   9,  12,   9,  10,  10,  13,  12,  13,  10,   9,   8,   8,   9,   9,   7,   5,   4,   3
2019,47201140,201,NO2 ,PPB   , 9,19,   5,   3,   3,   3,   2,   2,   5,  10,   6,   4,   4,   3,   6,   6,   4,   3,   3,   3,   3,   3,   2,   3,   3,   2
2019,47201140,201,NO2 ,PPB   , 9,20,   1,   1,   1,   1,   1,   1,   2,   4,   3,   3,   3,   2,   2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2019,47201140,201,NO2 ,PPB   , 9,21,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2019,47201140,201,NO2 ,PPB   , 9,22,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  15,  12,   6,   8,   9,   6,   5,   4,   4
2019,47201140,201,NO2 ,PPB   , 9,23,9999,   3,   3,   3,   3,   4,   6,   9,   9,   7,  11,  23,   4,  13,  11,   3,   4,   5,   5,   5,   3,   4,   2,   2
2019,47201140,201,NO2 ,PPB   , 9,24,   2,   2,   2,   2,   2,   3,   4,   9,   9,  10,   4,   3,   7,   6,   7,   6,   6,   8,   7,   6,   7,   6,   6,   4
2019,47201140,201,NO2 ,PPB   , 9,25,   5,   5,   5,   5,   4,   5,   8,  16,  11,  13,   9,  11,   6,   4,   4,   5,   5,   6,   7,   5,   6,   9,   6,   4
2019,47201140,201,NO2 ,PPB   , 9,26,   3,   4,   3,   3,   2,   3,   7,  16,  12,   7,   3,   3,   3,   2,   3,   2,   3,   4,   6,   4,   3,   3,   2,   2
2019,47201140,201,NO2 ,PPB   , 9,27,   2,   1,   1,   1,   2,   3,   3,   5,   3,   3,   2,   2,   2,   4,   3,   3,   4,   4,   5,   3,   3,   2,   2,   2
2019,47201140,201,NO2 ,PPB   , 9,28,   2,   2,   3,   2,   2,   2,   2,   3,   2,   2,   2,   3,   2,   2,   2,   3,   2,   2,   3,   2,   2,   1,   2,   1
2019,47201140,201,NO2 ,PPB   , 9,29,   1,   1,   1,   1,   1,   1,   2,   2,   1,   1,   2,   1,   2,   2,   1,   2,   3,   2,   2,   2,   2,   2,   2,   2
2019,47201140,201,NO2 ,PPB   , 9,30,   2,   1,   1,   1,   1,   2,   2,   3,   4,   3,   3,   4,   3,   3,   3,   2,   3,   3,   3,   3,   2,   2,   1,   1
2019,47201140,201,NO2 ,PPB   , 9,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2019,47201140,201,NO2 ,PPB   ,10, 1,9999,   1,   0,   1,   1,   1,   1,   2,   2,   3,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   3,   2,   2,   1
2019,47201140,201,NO2 ,PPB   ,10, 2,   1,   1,   1,   1,   1,   1,   2,   3,   2,   2,   2,   2,   2,   2,   2,   3,   4,   3,   5,   4,   3,   3,   2,   3
2019,47201140,201,NO2 ,PPB   ,10, 3,   2,   1,   2,   1,   2,   4,   7,   8,  10,  14,   7,   8,   7,   7,   7,   7,   7,   6,   7,  11,   9,   7,   6,   5
2019,47201140,201,NO2 ,PPB   ,10, 4,   8,   6,   6,   8,   4,   3,   5,  10,   9,   8,   8,   5,   5,   5,   5,   3,   5,   6,   7,  12,   9,   8,   8,   7
2019,47201140,201,NO2 ,PPB   ,10, 5,   7,   4,   4,   4,   3,   4,   6,   9,  10,   7,   5,   5,   7,   4,   5,   5,   7,   7,   8,   6,   5,   4,   5,   5
2019,47201140,201,NO2 ,PPB   ,10, 6,   6,   4,   4,   4,   4,   6,   6,   5,   4,   3,   2,   2,   3,   4,   3,   3,   3,   3,   4,   3,   5,   8,   6,   3
2019,47201140,201,NO2 ,PPB   ,10, 7,   5,   5,   5,   4,   4,   4,  10,  16,  12,  12,  10,   9,   6,   9,   6,   5,   6,   6,   7,   7,   6,  10,   8,   6
2019,47201140,201,NO2 ,PPB   ,10, 8,   5,   4,   4,   4,   4,   6,   9,  12,  10,  10,  10,   5,   3,   4,   5,   5,   6,   9,   9,   7,   7,   5,   5,   5
2019,47201140,201,NO2 ,PPB   ,10, 9,9999,   5,   4,   3,   3,   3,   5,  10,  10,   8,   6,   6,   4,   5,   6,9999,9999,   8,   9,   7,   5,   4,   5,   3
2019,47201140,201,NO2 ,PPB   ,10,10,   5,   4,   4,   3,   3,   4,   8,  13,   9,   7,   6,   5,   4,   4,   5,   5,   6,   6,   7,   7,   5,   4,   3,   2
2019,47201140,201,NO2 ,PPB   ,10,11,   2,   2,   2,   3,   2,   2,   3,   7,   7,   7,   6,   6,   3,   5,   5,   6,   5,   6,   6,   5,   4,   3,   3,   3
2019,47201140,201,NO2 ,PPB   ,10,12,   3,   3,   3,   3,   3,   3,   4,   5,  10,  10,   8,   6,   5,   5,   5,   5,   5,   6,   4,   3,   3,   3,   3,   2
2019,47201140,201,NO2 ,PPB   ,10,13,   2,   2,   2,   2,   1,   2,   5,   5,   8,   4,   4,   3,   2,   2,   4,   3,   3,   4,   4,   4,   4,   4,   7,   5
2019,47201140,201,NO2 ,PPB   ,10,14,   6,   4,   4,   4,   4,   5,   7,  10,   8,   9,   8,   4,   4,   3,   3,   4,   4,   5,   5,   6,   7,   6,   3,   5
2019,47201140,201,NO2 ,PPB   ,10,15,   3,   3,   3,   3,   2,   3,   3,   6,   7,   6,   5,   6,   4,   5,   4,   5,   7,   5,   5,   4,   4,   6,   5,   5
2019,47201140,201,NO2 ,PPB   ,10,16,   4,   4,   5,   4,   5,   8,   7,   9,   6,   9,   7,   7,   7,   8,   9,  10,  11,   8,   5,   5,   3,   3,   3,   4
2019,47201140,201,NO2 ,PPB   ,10,17,9999,   3,   2,   1,   2,   4,   7,  11,   9,   9,   6,   5,   2,   3,   3,   4,   3,   3,   5,   3,   4,   5,   5,   3
2019,47201140,201,NO2 ,PPB   ,10,18,   4,   9,   6,   5,   3,   5,   7,  12,   9,  10,   9,  11,   7,   9,   8,   7,   8,   6,   8,   7,   6,   5,   5,   4
2019,47201140,201,NO2 ,PPB   ,10,19,   4,   3,   4,   3,   4,   4,   6,   8,   9,   9,  10,   9,   9,   6,   6,   5,   7,   7,   7,   6,   6,   9,   7,   7
2019,47201140,201,NO2 ,PPB   ,10,20,   4,   3,   3,   2,   2,   2,   2,   4,   8,   6,   6,   4,   5,   4,   5,   4,   5,   6,   5,   6,   4,   3,   3,   2
2019,47201140,201,NO2 ,PPB   ,10,21,   2,   2,   2,   2,   5,   6,   7,  12,  10,  12,   8,   8,   5,   4,   6,   6,   6,   5,   7,   4,   4,   5,   4,   4
2019,47201140,201,NO2 ,PPB   ,10,22,   5,   3,   2,   2,   1,   3,   3,   8,   6,   6,   4,   4,   3,   3,   2,   2,   2,   2,   4,   4,   5,   5,   6,   4
2019,47201140,201,NO2 ,PPB   ,10,23,   5,   5,   4,   3,   3,   2,   5,  11,   6,   3,   4,   4,   5,   7,   6,   7,   9,  13,   9,   8,   8,   6,   3,   4
2019,47201140,201,NO2 ,PPB   ,10,24,   3,   3,   2,   3,   3,   4,  10,  13,  12,  13,   9,   7,   6,   6,   6,   7,   8,   7,   7,   5,   5,   4,   4,   4
2019,47201140,201,NO2 ,PPB   ,10,25,9999,   3,   3,   3,   3,   2,   5,  11,   7,   7,   5,   5,   4,   6,   7,   6,   6,   8,   7,   8,   7,   6,   8,   5
2019,47201140,201,NO2 ,PPB   ,10,26,   5,   5,   5,   6,   5,   4,   6,  10,  10,   7,   5,   6,   4,   4,   5,   4,   5,   7,   8,   8,   8,   8,   7,   6
2019,47201140,201,NO2 ,PPB   ,10,27,   9,   8,  10,  10,  11,  11,   8,  11,   7,   6,   4,   6,   6,   5,   6,   6,  10,  11,   9,   5,   9,   6,   6,   5
2019,47201140,201,NO2 ,PPB   ,10,28,   2,   3,   3,   2,   4,   5,   8,  15,  15,   5,   5,   4,   3,   4,   4,   4,   5,   5,   5,   5,   4,   3,   3,   2
2019,47201140,201,NO2 ,PPB   ,10,29,   2,   2,   1,   2,   2,   6,   4,   9,   8,   9,   7,   8,   8,   7,   7,  10,  10,  14,   9,   8,   8,   7,   6,   3
2019,47201140,201,NO2 ,PPB   ,10,30,   4,   3,   3,   4,   2,   3,   5,   9,   9,   8,   4,   4,   3,   4,   5,   7,   7,   7,   9,   9,  10,  11,   7,   6
2019,47201140,201,NO2 ,PPB   ,10,31,   4,   3,   3,   3,   4,   4,   7,  11,   8,   7,   4,   3,   3,   3,   4,   3,   4,   6,   5,   8,   8,   7,   7,   5
2019,47201140,201,NO2 ,PPB   ,11, 1,   4,   3,   3,   4,   4,   3,   8,  10,  11,  10,   6,   7,   7,   9,   6,   6,   6,   9,   9,   8,   6,   5,   6,   5
2019,47201140,201,NO2 ,PPB   ,11, 2,9999,   3,   3,   4,   4,   4,   6,  10,  10,   5,   3,   3,   3,   3,   3,   3,   2,   4,   5,   3,   4,   4,   3,   3
2019,47201140,201,NO2 ,PPB   ,11, 3,   3,   2,   2,   2,   2,   2,   5,   6,   5,   4,   3,   2,   3,   3,   4,   4,   7,   6,   6,   5,   7,   8,   5,   4
2019,47201140,201,NO2 ,PPB   ,11, 4,   5,   5,   3,   3,   2,   5,   5,   6,   7,   7,   6,   4,   3,   3,   4,   3,   6,   7,   7,   7,   5,   4,   4,   4
2019,47201140,201,NO2 ,PPB   ,11, 5,   4,   3,   3,   2,   2,   3,   6,  10,  16,  12,   7,   6,   5,   8,   8,   8,   9,   9,  10,   9,   8,   7,   8,   9
2019,47201140,201,NO2 ,PPB   ,11, 6,   9,   6,   9,   7,   6,   6,   9,  16,  14,   8,   7,   6,   4,   4,   4,   3,   4,   6,   6,   4,   4,   3,   3,   2
2019,47201140,201,NO2 ,PPB   ,11, 7,   2,   3,   3,   2,   2,   3,   5,  10,   8,   5,   4,   3,   5,   6,   5,   5,   7,  10,   7,   5,   5,   4,   5,   4
2019,47201140,201,NO2 ,PPB   ,11, 8,   3,   4,   2,   3,   2,   3,   6,  10,  14,  12,   8,   7,   6,   6,   7,   6,   7,   8,   6,   6,   5,   5,   5,   3
2019,47201140,201,NO2 ,PPB   ,11, 9,   3,   3,   2,   2,   2,   2,   4,   5,   7,   5,   6,   5,   4,   6,   5,   6,   5,   6,   5,   6,   8,   5,   3,   4
2019,47201140,201,NO2 ,PPB   ,11,10,9999,   6,   5,   6,   4,   4,   6,  10,   9,   6,   5,   4,   4,   6,  10,   7,   7,   8,   6,   9,  13,  14,  18,  14
2019,47201140,201,NO2 ,PPB   ,11,11,  14,  12,  11,  12,  10,   4,   6,  15,  18,  14,   9,   7,   5,   6,   6,   6,   7,  10,  10,  10,  10,  10,   9,   7
2019,47201140,201,NO2 ,PPB   ,11,12,   7,   7,   5,   6,   6,   7,  11,  17,  15,  12,   8,   5,   5,   5,   7,   7,   6,   9,  12,  11,  11,  11,   8,   7
2019,47201140,201,NO2 ,PPB   ,11,13,   9,   7,   9,   8,   6,   8,  12,  21,  23,  16,   4,   4,   3,   4,   5,   8,   8,   8,   9,  10,  11,  10,   7,   8
2019,47201140,201,NO2 ,PPB   ,11,14,   6,   4,   2,   1,   2,   3,   7,  12,   8,   8,   7,   6,   7,   8,   7,   6,   7,   9,   8,   7,   7,   5,   6,   7
2019,47201140,201,NO2 ,PPB   ,11,15,   6,   6,   4,   3,   5,   5,   6,  14,  12,   8,   7,   6,   4,   4,   5,   5,   6,   6,  11,  10,   8,   8,   8,   7
2019,47201140,201,NO2 ,PPB   ,11,16,   7,   6,   6,   5,   5,   5,   4,   4,   5,   4,   3,   4,   2,   3,   3,   4,   3,   4,   3,   3,   3,   3,   3,   3
2019,47201140,201,NO2 ,PPB   ,11,17,   3,   2,   2,   1,   2,   2,   2,   3,   3,   2,   2,   2,   2,   2,   3,   3,   3,   3,   3,   4,   2,   3,   2,   2
2019,47201140,201,NO2 ,PPB   ,11,18,9999,   1,   1,   1,   1,   1,   2,   3,   4,   4,   3,   2,   2,   2,   2,   6,   9,   6,   5,   4,   3,   3,   2,   2
2019,47201140,201,NO2 ,PPB   ,11,19,   2,   2,   3,   2,   2,   2,   3,   4,   7,   7,   6,   6,   5,   7,   8,   7,   8,   9,   8,   6,   6,   4,   3,   4
2019,47201140,201,NO2 ,PPB   ,11,20,   4,   3,   3,   3,   3,   3,   4,   9,  11,  11,   7,   6,   5,   5,   6,   8,   8,   9,   8,   6,   6,   5,   4,   3
2019,47201140,201,NO2 ,PPB   ,11,21,   2,   2,   2,   1,   1,   2,   2,   4,   6,   6,   5,   5,   3,   3,   2,   3,   3,   3,   3,   3,   2,   2,   2,   1
2019,47201140,201,NO2 ,PPB   ,11,22,   1,   1,   1,   1,   1,   1,   2,   4,   4,   3,   2,   2,   2,   3,   3,   4,   5,   3,   3,   2,   2,   2,   3,   3
2019,47201140,201,NO2 ,PPB   ,11,23,   2,   1,   1,   1,   1,   1,   2,   3,   4,   3,   3,   4,   3,   2,   2,   2,   3,   4,   3,   3,   4,   3,   2,   2
2019,47201140,201,NO2 ,PPB   ,11,24,   2,   1,   1,   1,   1,   1,   2,   4,   3,   3,   2,   4,   3,   4,   5,   6,   7,   7,  10,   7,   5,   4,   3,   3
2019,47201140,201,NO2 ,PPB   ,11,25,   2,   4,   2,   2,   2,   3,   4,   8,   7,   7,   5,   5,   4,   4,   5,   7,   5,   6,   5,   6,   7,   5,   5,   3
2019,47201140,201,NO2 ,PPB   ,11,26,9999,   4,   3,   3,   3,   4,   6,  11,   9,  11,  12,  10,   8,   8,   9,   9,   7,  11,  12,  10,   6,   5,   4,   3
2019,47201140,201,NO2 ,PPB   ,11,27,   4,   3,   3,   3,   2,   3,   5,   8,  11,  11,   7,   6,   4,   6,   6,   7,   9,   8,   7,   7,   6,   5,   5,   4
2019,47201140,201,NO2 ,PPB   ,11,28,   5,   4,   3,   4,   3,   3,   4,   7,   9,   7,   5,   6,   4,   6,   6,   6,   6,   5,   5,   4,   4,   4,   3,   4
2019,47201140,201,NO2 ,PPB   ,11,29,   5,   3,   3,   2,   3,   4,   7,  12,  10,   8,   5,   5,   5,   4,   4,   4,   5,   7,   6,   5,   7,   5,   5,   5
2019,47201140,201,NO2 ,PPB   ,11,30,   5,   4,   3,   4,   3,   3,   6,  10,  11,   9,   7,   4,   3,   3,   3,   4,   4,   4,   3,   3,   3,   2,   2,   2
2019,47201140,201,NO2 ,PPB   ,11,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2019,47201140,201,NO2 ,PPB   ,12, 1,   2,   2,   2,   1,   1,   2,   2,   3,   3,   2,   2,   3,   3,   3,   2,   2,   2,   3,   4,   5,   7,   6,   5,   7
2019,47201140,201,NO2 ,PPB   ,12, 2,   9,   7,   3,   2,   3,   3,   4,   6,  10,   8,   7,   7,   5,   6,   6,   6,   6,   5,   5,   4,   5,   4,   3,   2
2019,47201140,201,NO2 ,PPB   ,12, 3,   2,   1,   2,   1,   1,   3,   4,  10,  12,   8,   6,   5,   5,   4,   7,   7,   8,   8,  11,  11,   7,   6,   5,   4
2019,47201140,201,NO2 ,PPB   ,12, 4,9999,   3,   3,   2,   3,   4,   8,  14,  15,   9,   6,   5,   3,   4,   4,   5,   6,   9,  12,   9,   7,   5,   4,   4
2019,47201140,201,NO2 ,PPB   ,12, 5,   4,   2,   2,   2,   3,   3,   6,  15,  20,  19,  15,  12,  13,  14,  12,  13,  12,  12,  11,   7,   6,   4,   3,   2
2019,47201140,201,NO2 ,PPB   ,12, 6,   2,   2,   2,   2,   2,   4,   5,   9,  10,  10,   8,   7,   6,   6,   7,   7,   8,   9,   7,   7,   4,   5,   4,   3
2019,47201140,201,NO2 ,PPB   ,12, 7,   3,   2,   3,   2,   2,   2,   4,   4,   5,   5,   5,   4,   5,   4,   6,   5,   7,   8,   7,   8,   8,   6,   7,   5
2019,47201140,201,NO2 ,PPB   ,12, 8,   3,   4,   2,   2,   2,   2,   2,   5,   4,   5,   7,   4,   3,   3,   5,   4,   4,   7,   9,   8,   9,   9,   9,   9
2019,47201140,201,NO2 ,PPB   ,12, 9,   7,   4,   4,   3,   4,   4,  14,  18,  15,  12,   7,   7,   6,   4,   4,   4,   7,   9,  12,   9,   7,   8,   5,   4
2019,47201140,201,NO2 ,PPB   ,12,10,   4,   4,   4,   4,   3,   4,   5,   6,   5,   4,   4,   3,   3,   3,   3,   4,   5,   6,   5,   5,   4,   3,   2,   2
2019,47201140,201,NO2 ,PPB   ,12,11,   2,   1,   2,   1,   2,   3,   7,  13,  15,  12,   6,   9,  11,  11,   9,   9,   6,  10,  19,  13,  14,  11,  14,  13
2019,47201140,201,NO2 ,PPB   ,12,12,9999,   7,   3,   2,   2,   3,   7,  20,  21,  14,  11,   9,   7,   8,  10,  10,  11,  10,  11,   9,  12,  12,   8,   7
2019,47201140,201,NO2 ,PPB   ,12,13,   4,   3,   4,   3,   2,   3,   6,  13,  16,  13,   8,   4,   4,   4,   6,  10,  10,  13,  15,  17,  15,  12,  11,  10
2019,47201140,201,NO2 ,PPB   ,12,14,  11,  12,  11,   7,   9,   6,  11,  25,  20,   9,   7,   5,   5,   4,   4,   6,   7,   7,   8,  11,  10,  11,   7,   8
2019,47201140,201,NO2 ,PPB   ,12,15,   9,   9,   7,   5,   3,   4,   8,  11,  10,   9,   4,   4,   3,   2,   3,   3,   3,   5,   6,   7,   7,   6,   7,   8
2019,47201140,201,NO2 ,PPB   ,12,16,  10,   9,   7,   7,   8,  11,  17,  31,  34,  20,  15,  12,   8,   6,   7,   6,   8,   9,   9,   8,   7,   6,   5,   4
2019,47201140,201,NO2 ,PPB   ,12,17,   9,   9,   6,   6,   7,  13,  16,  16,  24,  17,   8,   3,   2,   4,   3,   3,   3,   5,   7,   8,   5,   6,   7,   6
2019,47201140,201,NO2 ,PPB   ,12,18,   7,   7,   6,   5,   5,   5,   6,  14,  18,  15,  13,  11,   8,   9,   7,   8,   8,  10,  10,   8,   7,   7,   5,   7
2019,47201140,201,NO2 ,PPB   ,12,19,   5,   3,   4,   3,   4,   6,   8,  13,  16,  16,  16,  10,   6,   6,   5,   6,   7,   8,   7,   6,   5,   4,   3,   4
2019,47201140,201,NO2 ,PPB   ,12,20,9999,   4,   4,   2,   2,   3,   5,  10,   7,  12,   8,   7,   5,   5,   6,   6,   7,   9,  11,   7,   6,   6,   5,   5
2019,47201140,201,NO2 ,PPB   ,12,21,   4,   4,   2,   2,   2,   2,   3,   4,   6,   5,   5,   5,   4,   5,   5,   7,   8,   7,  10,  11,  16,  15,  14,   7
2019,47201140,201,NO2 ,PPB   ,12,22,   5,   9,   6,   8,   7,   8,   9,  10,   5,   3,   3,   4,   4,   4,   4,   6,   6,   5,   5,   4,   4,   4,   5,   2
2019,47201140,201,NO2 ,PPB   ,12,23,   2,   2,   2,   2,   3,   3,   9,  16,  16,  11,  12,   9,   6,   7,   9,   7,   5,   9,  11,   9,   6,   5,   6,   6
2019,47201140,201,NO2 ,PPB   ,12,24,   5,   2,   2,   1,   3,   3,   9,  15,   9,   6,   5,   4,   4,   3,   4,   4,   5,   6,   5,   5,   4,   3,   3,   2
2019,47201140,201,NO2 ,PPB   ,12,25,   2,   1,   1,   1,   2,   2,   5,  12,  18,   7,   3,   3,   3,   3,   3,   3,   4,   8,   8,   7,   8,   8,   9,  12
2019,47201140,201,NO2 ,PPB   ,12,26,  13,  12,   8,  10,   9,  10,  12,  18,  22,  12,   9,   9,   7,   9,  10,  11,  13,  10,   9,   9,   6,   4,   3,   3
2019,47201140,201,NO2 ,PPB   ,12,27,   2,   3,   2,   2,   2,   2,   4,   7,   6,   6,   6,   6,   6,   6,   7,   6,   8,   9,   7,   6,   6,   6,   8,   5
2019,47201140,201,NO2 ,PPB   ,12,28,9999,   4,   5,   4,   4,   5,   6,  11,  10,  12,   8,   5,   4,   3,   3,   3,   4,   4,   5,   6,   8,   7,   8,   8
2019,47201140,201,NO2 ,PPB   ,12,29,   8,   8,   8,   4,   2,   2,   3,   4,   5,   4,   3,   3,   3,   3,   3,   3,   4,   5,   4,   4,   3,   3,   2,   3
2019,47201140,201,NO2 ,PPB   ,12,30,   3,   4,   5,   6,   3,   4,  10,  19,  20,  12,  14,   8,   9,   9,  11,   9,   6,   5,   5,   3,   2,   3,   9,   7
2019,47201140,201,NO2 ,PPB   ,12,31,   6,   4,   2,   2,   2,   2,   2,   3,   3,   4,   4,   4,   3,   4,   3,   4,   4,   4,   4,   3,   3,   3,   2,   2
2019,47201140,201,NO2 ,PPB   , 1, 1,   2,   2,   3,   2,   3,   3,   3,   6,   5,   7,   3,   3,   4,   4,   3,   3,   3,   5,   6,   6,   5,   7,   6,   4
2019,47201140,201,NO2 ,PPB   , 1, 2,   4,   4,   3,   3,   3,   5,   5,   7,   8,   9,   3,   3,   4,   3,   4,   2,   3,   5,   7,   6,   8,   7,   5,   5
2019,47201140,201,NO2 ,PPB   , 1, 3,   5,   4,   4,   3,   4,   6,   7,  11,   9,   9,   6,   5,   3,   3,   4,   3,   4,   5,   6,  11,  11,   9,  10,  10
2019,47201140,201,NO2 ,PPB   , 1, 4,   9,   8,   8,   7,   7,   9,   9,  13,  12,   9,   6,   4,   4,   4,   4,   5,   5,   5,   8,   9,  10,   7,   6,   6
