times,馬祖,彭佳嶼,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,金門,梧棲,台中,花蓮,日月潭,澎湖,阿里山,嘉義,玉山,東吉島,七股,成功,永康,台南,台東,高雄,大武,蘭嶼,恆春
2019/8/1 01:00,3.3,999.9,4.5,2.4,0.9,2.7,3,1.5,0.2,0,1,2.9,999.9,1.1,0.6,2.1,0.3,999.9,0.8,1.1,12.4,999.9,999.9,3.7,1.2,1.9,0.7,1.9,2.8,999.9,2.3
2019/8/1 02:00,3.3,999.9,5.2,1.6,0.3,4.1,3.6,1.5,0.4,0.3,1.3,2.9,999.9,1.1,0.9,2.7,0.5,999.9,0.8,0.2,10.6,999.9,999.9,3.7,0,1,1,1.4,3.2,999.9,2.5
2019/8/1 03:00,3.1,999.9,4.2,1.5,0.2,4.3,1.6,0.4,0.1,0.7,2.5,2.4,999.9,1.8,0.3,2.4,1.1,999.9,0.4,1.1,10.9,999.9,999.9,2.9,0.3,1.5,0.8,1.2,2.6,999.9,1.5
2019/8/1 04:00,3.5,999.9,3.5,0.9,0.8,3,2.1,0.2,1.2,0.6,2.6,2.5,999.9,1.2,0.8,2.1,1.3,999.9,1.4,1.4,10.9,999.9,999.9,3.3,0.8,1.4,0.8,0.9,3,999.9,0.9
2019/8/1 05:00,3.4,999.9,4.2,1.4,0.6,2,1.2,1.2,0.4,0.9,2.1,1.2,999.9,1.8,0.9,3,0.5,999.9,0.8,0.8,9.5,999.9,999.9,2.9,0.1,1.6,0.8,1.4,2.5,999.9,1.5
2019/8/1 06:00,2.8,999.9,3.4,1.2,1,1.6,1.7,1.3,0.9,0.6,0.9,0.2,999.9,1.8,0.1,3,1.3,999.9,0.7,0,8.1,999.9,999.9,3.5,0.1,1.4,0.9,2.2,3,999.9,0.7
2019/8/1 07:00,3,999.9,2.9,1.3,0.8,2.4,1.7,0.5,0.9,0.9,0.1,3,999.9,0.9,0.2,3.8,0.8,999.9,0.5,0,7.4,999.9,999.9,2.7,0.9,0.4,0.5,1.3,1.3,999.9,1.3
2019/8/1 08:00,2.3,999.9,3.8,1.6,0.7,2.2,1.8,1.5,1.3,1,2.8,4.9,999.9,1.1,0.2,2,0.7,999.9,0.3,0.1,4.7,999.9,999.9,0.6,0.3,0.8,0.8,1.5,2.4,999.9,0.5
2019/8/1 09:00,2.4,999.9,4.7,2.2,1.1,2.3,2.6,0.2,1.6,0.6,2.2,6,999.9,1.2,0.4,2.2,0.7,999.9,0.9,1.6,4.7,999.9,999.9,0.6,2.7,2.5,0.9,1.6,2.5,999.9,0.8
2019/8/1 10:00,2.4,999.9,4.6,2.3,1.9,3.8,2,2.8,1.9,0.4,3.8,5.5,999.9,3.3,0.6,3,1,999.9,1.3,0.9,3.9,999.9,999.9,2.6,1.4,2.2,1.4,1.4,1,999.9,3.4
2019/8/1 11:00,3.6,999.9,4,2.4,2.2,5.6,3.5,3.1,2,1.4,4.4,5.4,999.9,2.1,1.4,2.8,0.7,999.9,1.3,1.1,3.1,999.9,999.9,2.1,1.4,1.7,2.2,2,1.9,999.9,3.9
2019/8/1 12:00,2.5,999.9,3.6,2.4,1.5,3.6,5,3.3,1.5,1.4,4.7,6.1,999.9,3.4,2.2,3.2,0.9,999.9,1,1.4,3,999.9,999.9,2,1.7,2.6,2,0.8,2.2,999.9,2.4
2019/8/1 13:00,3.8,999.9,4.4,3.5,1.3,3.8,4.5,3.9,3.7,1.9,5.5,7.1,999.9,2.3,1.6,3.3,0.4,999.9,1.1,3.6,3,999.9,999.9,2,1.6,1.9,2.1,0.8,2.1,999.9,2.2
2019/8/1 14:00,3.4,999.9,3.7,3.3,1.6,3.8,4.8,3.4,3.4,1.7,4.6,5.5,999.9,3.6,1.4,3,0.5,999.9,0.6,2.9,1.6,999.9,999.9,2,1.9,2.4,1.9,1.9,0.6,999.9,3
2019/8/1 15:00,4.3,999.9,3.7,2.7,1.5,4.6,4.9,4.4,3.4,2.5,4.9,4.8,999.9,3,1.6,2.7,0.3,999.9,0.3,2.8,3.2,999.9,999.9,1.4,2.5,2.8,2,1.9,1.5,999.9,3
2019/8/1 16:00,4.2,999.9,4.2,2.7,1.5,5.1,5.3,6,2.4,3.2,4.9,5,999.9,3.1,0.9,1.9,3.4,999.9,0.9,3.9,3.7,999.9,999.9,1.6,2.5,2.5,1.3,2,1.7,999.9,1.7
2019/8/1 17:00,4.7,999.9,5.4,1.8,1.4,4.1,3.2,4.2,2.4,2.2,3.7,5.1,999.9,1.2,1.8,0.9,3.1,999.9,0.2,3.2,5.6,999.9,999.9,1.9,4,4.2,1.2,2.6,2.1,999.9,2.1
2019/8/1 18:00,4.3,999.9,4.5,1.8,1.1,2.9,3.8,2.7,1.9,1.1,3.7,3.7,999.9,3.6,1.5,1.1,3.5,999.9,0.8,1.1,4.3,999.9,999.9,1.2,2,2,3.1,1.1,1.3,999.9,2.9
2019/8/1 19:00,3,999.9,4.1,2.3,1.3,2.6,3.1,0.9,3,1,4.2,4.2,999.9,2.5,0.7,1,2.5,999.9,0.6,0.4,6.7,999.9,999.9,1.3,0.5,0,1.1,2.6,0.4,999.9,2.9
2019/8/1 20:00,4.9,999.9,4.1,2,1.1,2.2,3.9,2.5,2.2,0.5,3.3,4.7,999.9,2.6,2.1,1.8,2.4,999.9,0.8,2.3,5.9,999.9,999.9,4.3,2.3,2.3,0.9,2.4,1,999.9,0.1
2019/8/1 21:00,4.6,999.9,4.2,2.4,1.5,3.3,3.3,1.7,3.5,1,2.8,4.2,999.9,1.8,0.3,1.4,1.8,999.9,0.5,1.4,6.8,999.9,999.9,2,1.4,1.1,2.4,2.2,2.3,999.9,0.5
2019/8/1 22:00,4.6,999.9,5.3,2.2,1.4,2.8,3,0.6,2.4,0.5,1.9,2.8,999.9,2.7,1.1,2.2,1.7,999.9,0.2,0.9,7.9,999.9,999.9,2,1,1.5,2,0.1,1.1,999.9,2
2019/8/1 23:00,4.8,999.9,4,1.9,1.1,2.7,2.1,0.7,1.1,0.5,0.4,2.5,999.9,1.7,0.3,2.4,1.2,999.9,0.2,1.3,6.5,999.9,999.9,2.5,1.6,1.1,1.2,0.8,2,999.9,3.4
2019/8/2 00:00,4.8,999.9,3.5,1.5,0.5,2,2,0.5,1.1,0.9,1.8,1.7,999.9,2,0.8,1.4,0.3,999.9,0.2,1.2,6.9,999.9,999.9,2.3,2.1,1.9,1.2,2,1.1,999.9,3.5
2019/8/2 01:00,4.6,999.9,3.5,0.8,0.3,1.9,1.1,1.4,1.1,0.8,2.5,0.9,999.9,1.4,0.1,3.5,1.2,999.9,2,1.2,4.3,999.9,999.9,1.1,1.4,0.4,0.6,2,1.2,999.9,0.6
2019/8/2 02:00,4,999.9,3.7,0.8,0.4,0.6,0.9,1.2,1.1,0.9,1.5,0.9,999.9,0.5,0.5,2.8,1.1,999.9,0.8,1.8,4,999.9,999.9,2,0.9,0.2,0.6,1.4,1.6,999.9,2
2019/8/2 03:00,4.3,999.9,3,1.1,0.7,1.8,0.9,1.2,0.9,0.1,1.4,1.2,999.9,1,0.1,2.5,0.8,999.9,1.1,0.1,2.5,999.9,999.9,2.6,0.2,0.3,0.9,1.8,1,999.9,3.2
2019/8/2 04:00,4.6,999.9,2.5,0.5,0.7,0.8,0.9,1.6,0.1,0.7,1.1,1.6,999.9,0.6,0.2,2.1,1,999.9,1.5,0.1,1.1,999.9,999.9,1.6,0,0.2,0.7,0.9,1.3,999.9,2.9
2019/8/2 05:00,4.4,999.9,3.4,0.8,1.1,1.3,2,0.8,1.1,0.6,1.1,2.1,999.9,0.2,0.5,1.9,1.8,999.9,1.3,1.3,4.8,999.9,999.9,2.7,1.4,0.3,0.9,2,0.8,999.9,2.7
